Info 0    [10:07:41.092] Starting TS Server
Info 1    [10:07:41.124] Version: 4.3.5
Info 2    [10:07:41.124] Arguments: /home/marco/.nvm/versions/node/v14.17.5/bin/node /usr/bin/tsserver --logFile /home/marco/gamedev/flappywebgl/.log/tsserver.log --logVerbosity info --cancellationPipeName /tmp/4d7067821ee86a5c3fe5e94da3278082/tscancellation*
Info 3    [10:07:41.124] Platform: linux NodeVersion: 14 CaseSensitive: true
Info 4    [10:07:41.124] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [10:07:41.151] Search path: /home/marco/gamedev/flappywebgl
Info 6    [10:07:41.151] For info: /home/marco/gamedev/flappywebgl/main.js :: No config files found.
Info 7    [10:07:41.154] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 8    [10:07:51.279] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true Elapsed: 10124.876001000404ms
Info 9    [10:07:51.279] Project '/dev/null/inferredProject1*' (Inferred)
Info 10   [10:07:51.279] 	Files (19)

Info 11   [10:07:51.279] -----------------------------------------------
Info 12   [10:07:51.429] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 13   [10:07:51.440] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false Elapsed: 11.388681000098586ms
Info 14   [10:07:51.440] Different program with same set of files:: structureIsReused:: 2
Info 15   [10:07:51.441] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 16   [10:07:51.452] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false Elapsed: 11.091965000145137ms
Info 17   [10:07:51.452] Different program with same set of files:: structureIsReused:: 2
Info 18   [10:07:51.454] getCompletionData: Get current token: 0.015187999233603477
Info 19   [10:07:51.454] getCompletionData: Is inside comment: 0.05011400021612644
Info 20   [10:07:51.454] getCompletionData: Get previous token 1: 0.0371500002220273
Info 21   [10:07:51.454] getCompletionsAtPosition: isCompletionListBlocker: 0.1539690000936389
Info 22   [10:07:51.461] getCompletionData: Semantic work: 6.93287399969995
Info 23   [10:07:51.462] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.18613900057971478
Info 24   [10:07:51.477] getCompletionData: Get current token: 0.010479999706149101
Info 25   [10:07:51.477] getCompletionData: Is inside comment: 0.03196999989449978
Info 26   [10:07:51.477] getCompletionData: Get previous token 1: 0.037370000034570694
Info 27   [10:07:51.478] getCompletionsAtPosition: isCompletionListBlocker: 0.0027649998664855957
Info 28   [10:07:51.478] getCompletionData: Semantic work: 0.11500600073486567
Info 29   [10:07:51.478] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.03409400023519993
Info 30   [10:07:51.481] getCompletionData: Get current token: 0.011672000400722027
Info 31   [10:07:51.481] getCompletionData: Is inside comment: 0.031197999604046345
Info 32   [10:07:51.481] getCompletionData: Get previous token 1: 0.029666000045835972
Info 33   [10:07:51.481] getCompletionsAtPosition: isCompletionListBlocker: 0.0025450000539422035
Info 34   [10:07:51.481] getCompletionData: Semantic work: 0.07416999991983175
Info 35   [10:07:51.481] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.03369300067424774
Info 36   [10:07:51.603] getCompletionData: Get current token: 0.010831000283360481
Info 37   [10:07:51.603] getCompletionData: Is inside comment: 0.027071000076830387
Info 38   [10:07:51.603] getCompletionData: Get previous token 1: 0.023024000227451324
Info 39   [10:07:51.603] getCompletionsAtPosition: isCompletionListBlocker: 0.0024239998310804367
Info 40   [10:07:51.603] getCompletionData: Semantic work: 0.09584899991750717
Info 41   [10:07:51.603] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.03664899989962578
Info 42   [10:07:54.599] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 43   [10:07:54.611] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false Elapsed: 12.251900000497699ms
Info 44   [10:07:54.611] Different program with same set of files:: structureIsReused:: 2
Info 45   [10:07:55.072] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 46   [10:07:55.085] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false Elapsed: 12.962883999571204ms
